Timestamp,StimuliName,FixationIndex,FixationDuration,MappedFixationPointX,MappedFixationPointY,user,description
2586,01_Antwerpen_S1.jpg,9,250,1151,458,p1,color
2836,01_Antwerpen_S1.jpg,10,150,1371,316,p1,color
2986,01_Antwerpen_S1.jpg,11,283,1342,287,p1,color
3269,01_Antwerpen_S1.jpg,12,433,762,303,p1,color
3702,01_Antwerpen_S1.jpg,13,183,624,297,p1,color
3885,01_Antwerpen_S1.jpg,14,333,712,303,p1,color
4218,01_Antwerpen_S1.jpg,15,300,753,293,p1,color
4518,01_Antwerpen_S1.jpg,16,516,804,284,p1,color
5035,01_Antwerpen_S1.jpg,17,183,724,305,p2,color
5218,01_Antwerpen_S1.jpg,18,250,652,703,p2,color
5468,01_Antwerpen_S1.jpg,19,183,495,855,p2,color
5651,01_Antwerpen_S1.jpg,20,550,425,976,p2,color
6200,01_Antwerpen_S1.jpg,21,150,620,739,p2,color
6517,01_Antwerpen_S1.jpg,22,333,601,674,p2,color
9066,02_Berlin_S1.jpg,27,149,1067,681,p2,color
9215,02_Berlin_S1.jpg,28,266,1116,757,p2,color
9481,02_Berlin_S1.jpg,29,217,1020,723,p2,color
